second,requests,samples
1755594246,311,62200
1755594247,1373,274600
1755594248,1447,289400
1755594249,1434,286800
1755594250,1415,283000
1755594251,1491,298200
1755594252,1480,296000
1755594253,1428,285600
1755594254,1506,301200
1755594255,1440,288000
1755594256,1344,268800
1755594257,1430,286000
1755594258,1493,298600
1755594259,1556,311200
1755594260,1351,270200
1755594261,1529,305800
1755594262,1508,301600
1755594263,1438,287600
1755594264,1597,319400
1755594265,1509,301800
1755594266,1573,314600
1755594267,1509,301800
1755594268,1538,307600
1755594269,1585,317000
1755594270,1538,307600
1755594271,1586,317200
1755594272,1503,300600
1755594273,1576,315200
1755594274,1559,311800
1755594275,1506,301200
1755594276,1585,317000
1755594277,222,44400
